Pathway,Number of Genes,Number of Impacted Genes,Number of Molecules,Mean Similarity Active,Mean Similarity non-Active,Mean Variance Active,Mean Variance non-Active,Kurtosis Active,Kurtosis Inactive,Skewness Active,Skewness Inactive,P-Value Levene Test,P-Value Kolmogorov-Smirnov Test,P-Value Kolmogorov-Smirnov Test Left,P-Value Kolmogorov-Smirnov Test Right,P-Value extreme values Test (Fisher exact) Left,P-Value extreme values Test (Fisher exact) Right,Proportion extreme values Left Active,Proportion extreme values Left Inactive,Proportion extreme values Right Active,Proportion extreme values Right Inactive
REACTIVE_OXYGEN_SPECIES_PATHWAY,49,4,69,0.11637679,0.0025275194,0.1452368,0.012209673,-0.7767398261224066,1.7429204343438451,0.3983396290108695,0.19059460926340221,0.0,2.595176050169175e-88,1.360133586808245e-73,1.5604017724798402e-176,6.687531220851135e-95,8.623771170814038e-224,0.23751686909581646,0.03289537907581516,0.39271255060728744,0.033185837167433486
SPERMATOGENESIS,135,11,342,0.17687027,0.0027800451,0.12663071,0.012047631,-0.8838107031415401,1.8637077656127445,0.357435494150143,0.19930353734990905,0.0,0.0,0.0,0.0,0.0,0.0,0.14896832316187156,0.03183628725745149,0.42481836675385065,0.032397999599919985
TGF_BETA_SIGNALING,54,10,235,0.120917685,0.0031014471,0.11505133,0.01183045,-0.24750758358688962,1.6579525171346328,0.7688742487868394,0.1739911288504401,0.0,0.0,4.988904171049822e-296,0.0,0.0,0.0,0.1322277501381979,0.030897139427885578,0.32084024322830296,0.03199375875175035
TNFA_SIGNALING_VIA_NFKB,200,16,248,0.012352016,0.0029648708,0.046126354,0.011673438,2.70011641371204,1.4844209979071348,1.1352302722393997,0.14278331293880608,0.0,1.0399810449384246e-299,0.0,0.0,0.0,0.0,0.12105655741301391,0.03045393078615723,0.13049010574349523,0.031329545909181834
UNFOLDED_PROTEIN_RESPONSE,113,4,92,0.072134726,0.002734831,0.0629393,0.012041666,1.4956606110575956,1.7576040365693393,1.054678953952426,0.18885996291082455,0.0,4.686665286447028e-146,2.544115663671355e-52,3.337056640333338e-240,2.1006467769137964e-86,0.0,0.09866220735785954,0.03221764352870574,0.21739130434782608,0.032473534706941386
UV_RESPONSE_DN,144,17,323,0.018113505,0.002603445,0.069590494,0.012071015,1.1827988500033078,1.8670501954962075,0.8441087976261189,0.19929405014470541,0.0,0.0,0.0,0.0,0.0,0.0,0.1875198374912715,0.03217859571914383,0.18980511648574874,0.03242176435287057
UV_RESPONSE_UP,158,16,654,0.019498399,0.0024684335,0.054875378,0.012044707,1.834878687966203,1.9826540945872297,0.8198904702698987,0.22981992123845774,0.0,0.0,0.0,0.0,0.0,0.0,0.13956880707179742,0.0319875175035007,0.16428897900438583,0.032007761552310464
WNT_BETA_CATENIN_SIGNALING,42,6,95,0.09509085,0.0028594206,0.091605745,0.011935667,0.8982927571200654,1.6181013113281555,1.1513076660421029,0.16894164223999902,0.0,2.855419218382064e-99,6.133675830400738e-20,4.219177936839711e-201,1.3484468665891852e-27,0.0,0.07857769973661106,0.031528305661132225,0.252414398595259,0.03220588117623525
WNT_BETA_CATENIN_SIGNALING,42,6,95,0.09509085,0.0031573738,0.091605745,0.011869871,0.8982927571200654,1.834059761143532,1.1513076660421029,0.18060321929547546,0.0,1.4050631347741444e-99,1.6496795915684523e-20,6.505595982200009e-202,1.5869509438353865e-28,0.0,0.07857769973661106,0.03093242648529706,0.252414398595259,0.031875575115023
XENOBIOTIC_METABOLISM,200,11,91,0.047298737,0.0028355492,0.07854828,0.011963979,0.9213351436957073,1.8312173370625313,0.9226091978521167,0.1914986857411808,0.0,3.2528074578066047e-122,2.530313210297847e-143,2.029646799341882e-251,1.5831098377818295e-219,0.0,0.1496947496947497,0.031624164832966595,0.21196581196581196,0.031855571114222846
