Scaffold,n_Scaffold,ClusterCount,IntraTanimoto,IntraCosine,InterTanimoto,InterCosine,TanimotoDifference,CosineDifference,Selected_Scaffold
C(=Nc1ccccc1)N1CCN(c2cc(-c3ccccc3)ncn2)CC1,21,2,0.5750727818660903,0.09623697217506727,0.5536337363702396,-0.0036901859151941305,0.02143904549585074,0.0999271580902614,False
C(=Nc1ccccc1)NCc1ccnc2ccccc12,8,2,0.5174923724792113,0.08528330471612558,0.5555558900819576,-0.03188943226863876,-0.03806351760274629,0.11717273698476434,False
C(=Nc1ccccc1)Nc1ccccc1,96,2,0.3033379425401912,0.2085362585047212,0.27874307810915416,-0.02796193786353365,0.024594864431037033,0.23649819636825486,True
C(=Nc1ccccc1)Nc1cccs1,8,2,0.42506909304242974,0.2867090178001021,0.26864619736398265,-0.046434589268953844,0.15642289567844708,0.33314360706905594,True
C(=Nc1ccccc1)c1cc(-c2ccccc2)on1,34,2,0.4781986958206136,0.13706456318519297,0.4512826832134716,0.013916871663714622,0.026916012607141993,0.12314769152147835,False
C(=Nc1ccccc1)c1cc(C2CC2)nc2[nH]ncc12,18,2,0.4943260646326832,0.13994308115495188,0.47706515216119655,0.03588260745206774,0.017260912471486645,0.10406047370288414,False
C(=Nc1ccccc1)c1cc(C2CC2)nc2oncc12,26,2,0.6516657665085841,0.1596112562718585,0.6363364349191052,0.07476990149403688,0.015329331589478912,0.0848413547778216,False
C(=Nc1ccccc1)c1cc[nH]c1,9,2,0.45125341179335465,0.4557804782160032,0.37808535891246575,0.06983074231635365,0.0731680528808889,0.38594973589964954,True
C(=Nc1ccccc1)c1ccc2c(c1)OCCO2,7,2,0.3723478181022058,0.09457709107180634,0.34911379297880424,-0.011915147411337047,0.023234025123401558,0.10649223848314339,False
C(=Nc1ccccc1)c1cccc(-n2cnc3cccnc32)c1,13,2,0.6769806628008195,0.10297199391189911,0.6856339722179378,-0.024729341159021832,-0.008653309417118282,0.12770133507092093,False
C(=Nc1ccccc1)c1cccc(-n2cnnc2)n1,26,2,0.5007533587553671,0.05183694988703391,0.5007798040926422,-0.008378842866626138,-2.6445337275138314e-05,0.06021579275366005,False
C(=Nc1ccccc1)c1ccccc1,157,2,0.24947643478673162,0.2334394518485925,0.22441257536690204,-0.047467176393176054,0.02506385941982958,0.28090662824176854,True
C(=Nc1ccccc1)c1ccccc1-n1cnnn1,26,2,0.5031440013126689,0.08134499480854017,0.5294742898494736,-0.005544928160699136,-0.026330288536804747,0.08688992296923931,False
C(=Nc1ccccc1)c1cn(Cc2coc(-c3ccccc3)n2)nn1,14,2,0.6533808836064714,0.06903052582490773,0.655366866268796,-0.02229252205568262,-0.001985982662324637,0.09132304788059036,False
C(=Nc1ccccc1)c1cn2cc(-c3ccccc3)nc2s1,26,2,0.5917337475614022,0.3263560541015535,0.5657871456863653,0.01809467480346495,0.025946601875036834,0.30826137929808856,True
C(=Nc1ccccc1)c1cnn(-c2ccccc2)c1-n1cccc1,12,2,0.5344463430148357,0.19703424851396137,0.5186853861784201,0.07067503032508182,0.01576095683641565,0.12635921818887955,False
C(=Nc1ccccc1)c1coc2ncnc(N3CCOCC3)c12,21,2,0.6037813107333633,0.052175142917861975,0.6073910701308763,-0.002666363341469108,-0.003609759397513068,0.05484150625933108,False
C(=Nc1ccccc1)c1csc(-c2ccc[nH]2)n1,15,2,0.6988246740774283,0.5388254267944292,0.6070260785827969,0.2096646117954654,0.09179859549463143,0.3291608149989639,True
C(=Nc1ccccc1)c1csc2nc(-c3ccccc3)cn12,10,2,0.6478630017937466,0.09686805265670165,0.6511137368106686,0.01014610590539034,-0.0032507350169220794,0.08672194675131131,False
C(=Nc1ccccc1)c1nc(-c2ccccc2)n2c1CCCCC2,26,2,0.5806943767562365,0.07359901909219525,0.5828045819027562,0.001905055367979128,-0.002110205146519717,0.07169396372421613,False
C(=Nc1ccccc1)c1nc2ccccc2nc1N1CCCCC1,12,2,0.609548626773027,0.05998473165844623,0.6097017365667772,-0.0052300154387166856,-0.00015310979375016132,0.0652147470971629,False
C(=Nc1ccccc1)c1nc2ncccn2n1,13,2,0.557442854079705,0.06198425212061921,0.5497989931818297,-0.0002021515323290026,0.0076438608978752765,0.06218640365294822,False
C(=Nc1ccccn1)c1ccccc1,32,2,0.394479134934269,0.406233945418947,0.30398156014091476,-0.06765992402900525,0.09049757479335424,0.4738938694479522,True
C(=Nc1cccnc1)c1ccccc1,14,2,0.3073768077103401,0.05849281509388814,0.3088681198858791,-0.04115499718210871,-0.0014913121755389946,0.09964781227599684,False
C(=Nc1coc2ccccc12)c1ccccc1,15,2,0.5896149410683927,0.18330197240996188,0.5604856093369074,0.019129821435290337,0.029129331731485353,0.16417215097467153,False
C(=Nc1nc(-c2ccccc2)cs1)c1ccccc1,11,2,0.4138892511604281,0.3933627389796339,0.36958310158168217,0.05880207063463894,0.0443061495787459,0.334560668344995,True
C(=Nc1nc2ccccc2s1)c1ccccc1,11,2,0.4852977049784627,0.1747121557112583,0.42707327731670136,-0.028653306243352248,0.058224427661761335,0.20336546195461055,False
C(=Nc1nnc(-c2ccccc2)o1)c1ccccc1,7,2,0.5263151246186395,0.40555176883653865,0.45296062617977184,0.05082274169675241,0.07335449843886765,0.35472902713978627,True
C(=Nc1nnc(-c2ccccc2)s1)Nc1ccccc1,8,2,0.5734698289183554,0.231297349450006,0.5517497763658622,0.07531981765320822,0.021720052552493208,0.15597753179679777,False
C(=Nc1nncs1)c1ccccc1,39,2,0.35923537929021165,0.11911177325975097,0.3257900822985181,-0.0189959876311094,0.033445296991693574,0.13810776089086038,False
C(CC(c1ccccc1)n1cccc1)=Nc1ccccc1,28,2,0.533597658472809,0.09190900854882916,0.5348239565180343,0.024475194564640673,-0.001226298045225227,0.06743381398418849,False
C(CC(c1cccs1)n1cccc1)=Nc1ccccc1,17,2,0.6306807084417212,0.08952128807696506,0.6425150079210521,0.020600530070349815,-0.011834299479330901,0.06892075800661525,False
C(CN1C=NC(c2ccccc2)c2cocc21)=Nc1ccccc1,7,2,0.6532185802176423,0.09014724435677658,0.5212211808004105,-0.03502841827646049,0.13199739941723188,0.12517566263323707,False
C(CN1CCN(Cc2ccco2)CC1)=Nc1ccccc1,9,2,0.5814089986264401,0.0787353367579554,0.5656329352378857,-0.04313839915074801,0.015776063388554418,0.1218737359087034,False
C(CNc1ccc2ocnc2c1)=Nc1ccccc1,8,2,0.6389015691072868,0.1131961082541067,0.6800249717811655,0.0033534974659132485,-0.041123402673878706,0.10984261078819345,False
C(COCc1cc(-c2ccc3c(c2)OCO3)on1)=Nc1ccccc1,18,2,0.6780615348957404,0.059982771962514995,0.6817232562661195,-0.020157314812760868,-0.003661721370379123,0.08014008677527587,False
C(COc1ccccc1-n1cnnc1)=Nc1ccccc1,10,2,0.5955639346825008,0.0834537566597155,0.5917225152911442,0.0013821452576794544,0.0038414193913566264,0.08207161140203605,False
C(COc1ncnc2occc12)=NCc1ccccc1,19,2,0.5886774113812345,0.13523247904143434,0.5832186507222262,0.044747755359110256,0.005458760659008299,0.09048472368232409,False
C(CSc1ccccc1)=Nc1ccccc1,12,2,0.3203255989079371,0.10561219592421715,0.30975485188049456,0.02362153542404581,0.01057074702744254,0.08199066050017134,False
C(CSc1nc2ccccc2[nH]1)=Nc1ccccc1,8,2,0.34740436731581203,0.1032208699170777,0.38979410975982953,-0.020212850989179718,-0.0423897424440175,0.12343372090625741,False
C(CSc1nnc(C2CC2c2ccccc2)[nH]1)=Nc1ccccc1,9,2,0.7801239639087088,0.24596388249108214,0.6188390379357309,0.01641181441209418,0.16128492597297783,0.22955206807898795,True
C(Cc1ccccc1)=NCc1ccccc1,17,2,0.3715924410683572,0.10853624100591504,0.26970176583081773,-0.004265974288574155,0.10189067523753947,0.1128022152944892,False
C(Cc1ccccc1)=Nc1cccc(-c2ccc3nncn3n2)c1,8,2,0.6415175901954853,0.10097526726875647,0.5597569910298472,-0.015498922297790312,0.08176059916563805,0.11647418956654679,False
C(Cc1ccccc1)=Nc1cn[nH]c1,8,2,0.4670365313660896,0.05810162854087787,0.4308175476254229,-0.05235017396216575,0.03621898374066668,0.11045180250304362,False
C(Cc1ccccc1)=Nc1nc(-c2ccccc2)cs1,10,2,0.41603357963582577,0.26961868054685667,0.4119773206009591,0.1683259344353775,0.004056259034866672,0.10129274611147918,False
C(Cc1cnn(-c2ccccc2)c1)=Nc1ccccc1,19,2,0.3995442072023633,0.057562350926274305,0.4145466032923701,-0.03527173212966212,-0.015002396090006809,0.09283408305593643,False
C(Cn1cccn1)=Nc1ccccc1,9,2,0.355361277554628,0.06317666150020541,0.2859009245495677,-0.05855574388041586,0.06946035300506026,0.12173240538062127,False
C(Cn1cnc(-c2noc(-c3ccccc3)n2)c1)=Nc1ccccc1,14,2,0.529125910570913,0.2852374023068358,0.5478745559341393,0.1344488472417855,-0.01874864536322629,0.15078855506505032,False
C1=CC2c3ccccc3NC(c3ccccc3)C2C1,20,2,0.5086432022675937,0.11855969737527294,0.486080062999434,-0.04381858053379358,0.022563139268159726,0.16237827790906653,False
C1=NC(c2ccccc2)CC(CN2CCN(c3ccccc3)CC2)=N1,9,2,0.7578305469314967,0.11284844244105863,0.6485412206744614,0.009016179040372992,0.10928932625703525,0.10383226340068563,False
C1=NC(c2ccccc2)Nc2ccccc21,7,2,0.4713733591148833,0.39355669281223155,0.44213538685178005,-0.010528822240522909,0.029237972263103262,0.4040855150527545,True
C1=NC2CC(Oc3ccccc32)N1c1ccccc1,15,2,0.45884768154273303,0.07875279336311879,0.45967836422205843,-0.0627863428346772,-0.0008306826793254007,0.14153913619779598,False
C1=NC=NC(c2ccccc2)C1,14,2,0.45940047228722153,0.12434532197295273,0.38065579852531095,0.03502066001229461,0.07874467376191058,0.08932466196065811,False
C1=NCCN(Cc2ccccc2)C1,10,2,0.5526190435730678,0.10238357664899753,0.5338819325775063,-0.031866008708343406,0.018737110995561523,0.13424958535734094,False
C1=NCCSC1CC=Nc1ccccc1,7,2,0.542715550997519,0.03888410163104228,0.5174291014666856,-0.02678144213159751,0.025286449530833366,0.06566554376263979,False
