UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
-21.98707,10.139551,source_5,JCP2022_046054
-17.249025,4.2406836,source_2,JCP2022_050797
-20.596897,10.45644,source_5,JCP2022_037716
-16.348309,-0.18700635,source_6,JCP2022_037716
4.2116613,4.066225,source_3,JCP2022_046054
-17.366385,4.8021364,source_2,JCP2022_085227
-18.952982,4.184254,source_2,JCP2022_064022
-24.89886,10.7287035,source_8,JCP2022_037716
-26.245556,8.879332,source_10,JCP2022_046054
-17.241062,4.4061747,source_2,JCP2022_025848
2.169313,2.585581,source_3,JCP2022_046054
-19.011255,3.7099078,source_2,JCP2022_064022
-24.190268,9.863924,source_8,JCP2022_025848
-14.882454,0.32101572,source_6,JCP2022_064022
-17.664352,4.3080463,source_2,JCP2022_025848
-18.514338,4.5585446,source_2,JCP2022_035095
2.8989553,2.7593994,source_3,JCP2022_046054
10.76574,3.8475935,source_11,JCP2022_085227
-19.358309,3.5981164,source_2,JCP2022_064022
-26.325155,9.70402,source_10,JCP2022_064022
-14.45331,-0.37656155,source_6,JCP2022_035095
-26.058895,9.334141,source_10,JCP2022_050797
-12.032781,4.002126,source_6,JCP2022_025848
11.431234,3.7776694,source_11,JCP2022_012818
10.709976,3.7858453,source_11,JCP2022_025848
-26.13987,11.497062,source_8,JCP2022_046054
-17.391151,4.41038,source_2,JCP2022_050797
-19.778267,8.540423,source_5,JCP2022_025848
2.2224588,2.5565574,source_3,JCP2022_064022
2.3261888,2.4097621,source_3,JCP2022_025848
-23.536715,9.4000435,source_8,JCP2022_050797
-17.496153,4.7357035,source_2,JCP2022_085227
-25.96858,11.492527,source_8,JCP2022_046054
-21.930233,9.884233,source_5,JCP2022_064022
-23.022058,9.698383,source_5,JCP2022_035095
-18.98366,4.136259,source_2,JCP2022_064022
-14.86108,0.35005963,source_6,JCP2022_012818
-18.51103,3.8505647,source_2,JCP2022_064022
-26.996275,9.554725,source_10,JCP2022_037716
-17.637589,4.423205,source_2,JCP2022_025848
11.4944315,3.7335122,source_11,JCP2022_050797
-26.349524,11.351428,source_8,JCP2022_035095
10.342137,4.3609247,source_11,JCP2022_046054
11.427597,3.6380923,source_11,JCP2022_085227
-25.252655,10.701301,source_8,JCP2022_050797
9.995078,3.4349391,source_11,JCP2022_037716
4.16425,4.114191,source_3,JCP2022_035095
-21.616098,10.028669,source_5,JCP2022_046054
-20.180687,8.968752,source_5,JCP2022_050797
-11.391221,3.9083378,source_6,JCP2022_050797
-26.225327,11.416503,source_8,JCP2022_085227
-25.631462,10.189038,source_8,JCP2022_035095
-27.713428,10.296349,source_8,JCP2022_012818
-25.180828,7.4702187,source_10,JCP2022_025848
-18.404547,4.627954,source_2,JCP2022_035095
1.8689334,2.3397284,source_3,JCP2022_064022
-26.833775,9.583626,source_10,JCP2022_012818
10.736626,4.799247,source_11,JCP2022_050797
-11.881307,4.0476003,source_6,JCP2022_085227
-14.871709,0.61252517,source_6,JCP2022_050797
-20.539965,10.456176,source_5,JCP2022_037716
-14.981973,0.21135847,source_6,JCP2022_025848
