UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
25.884836,-6.8179183,source_5,JCP2022_035095
23.879396,-11.428036,source_2,JCP2022_012818
28.666903,-8.461268,source_6,JCP2022_046054
22.37159,-10.377614,source_3,JCP2022_037716
26.645636,-11.195436,source_10,JCP2022_064022
25.6635,-8.130058,source_10,JCP2022_050797
26.26733,-10.16209,source_10,JCP2022_025848
23.649052,-10.338191,source_3,JCP2022_025848
26.337187,-7.634449,source_8,JCP2022_035095
28.64254,-8.58895,source_6,JCP2022_046054
25.194536,-6.0420136,source_8,JCP2022_035095
28.443916,-8.5521345,source_5,JCP2022_046054
28.108809,-9.003113,source_8,JCP2022_046054
25.041145,-6.645027,source_2,JCP2022_035095
24.274323,-11.743361,source_8,JCP2022_012818
21.710554,-10.733138,source_6,JCP2022_037716
21.32896,-10.23578,source_5,JCP2022_037716
26.121906,-6.845912,source_5,JCP2022_035095
25.104967,-6.797717,source_3,JCP2022_035095
21.978912,-9.964018,source_2,JCP2022_037716
26.0414,-6.9229646,source_6,JCP2022_035095
23.39349,-9.068866,source_8,JCP2022_050797
25.586317,-11.786529,source_2,JCP2022_064022
21.540379,-10.228592,source_8,JCP2022_037716
28.21172,-9.565097,source_3,JCP2022_046054
25.314384,-10.403209,source_6,JCP2022_085227
25.17991,-10.993454,source_8,JCP2022_050797
26.606785,-11.869794,source_11,JCP2022_064022
23.688435,-11.473832,source_10,JCP2022_012818
27.0747,-9.7878685,source_2,JCP2022_025848
28.357346,-9.15209,source_2,JCP2022_046054
27.78042,-9.028677,source_10,JCP2022_046054
26.205963,-10.5117855,source_6,JCP2022_012818
24.570034,-11.6625395,source_8,JCP2022_012818
25.555805,-11.952644,source_2,JCP2022_064022
28.219662,-8.488512,source_5,JCP2022_046054
27.289333,-9.460212,source_3,JCP2022_046054
25.21889,-7.229296,source_3,JCP2022_035095
25.256514,-6.7143497,source_3,JCP2022_035095
25.814512,-8.406379,source_2,JCP2022_025848
25.409832,-8.716578,source_8,JCP2022_050797
25.751255,-9.038741,source_11,JCP2022_085227
27.436907,-8.643232,source_6,JCP2022_050797
27.457651,-8.964668,source_10,JCP2022_046054
25.14865,-6.505285,source_3,JCP2022_035095
25.90854,-10.597057,source_11,JCP2022_050797
21.948914,-9.932974,source_2,JCP2022_037716
26.33337,-11.796982,source_3,JCP2022_064022
25.348415,-6.1518183,source_10,JCP2022_035095
25.968365,-10.692768,source_3,JCP2022_012818
24.954475,-7.70648,source_3,JCP2022_025848
25.14055,-7.754493,source_3,JCP2022_064022
25.293568,-9.773255,source_6,JCP2022_085227
25.928713,-6.975727,source_6,JCP2022_035095
25.367142,-5.98548,source_8,JCP2022_035095
26.166744,-6.803346,source_5,JCP2022_035095
25.081257,-8.164337,source_5,JCP2022_025848
26.342485,-10.74908,source_6,JCP2022_064022
25.303684,-9.838095,source_5,JCP2022_050797
26.32118,-8.666808,source_2,JCP2022_085227
25.46132,-7.7047963,source_10,JCP2022_050797
25.898333,-9.867447,source_11,JCP2022_050797
26.738268,-10.027873,source_8,JCP2022_025848
25.25605,-8.347548,source_5,JCP2022_025848
25.225922,-10.413226,source_8,JCP2022_085227
25.046469,-11.012699,source_8,JCP2022_085227
22.098906,-10.713152,source_5,JCP2022_037716
25.126253,-8.851937,source_5,JCP2022_085227
24.116463,-9.647766,source_11,JCP2022_012818
26.438051,-11.839979,source_11,JCP2022_064022
28.332945,-9.280673,source_2,JCP2022_046054
25.249235,-10.380271,source_5,JCP2022_012818
22.286526,-10.620159,source_3,JCP2022_037716
26.506613,-9.78251,source_11,JCP2022_012818
25.826288,-9.573773,source_11,JCP2022_012818
27.9867,-9.630296,source_3,JCP2022_046054
25.747202,-10.818786,source_6,JCP2022_064022
24.645206,-11.370619,source_8,JCP2022_012818
26.18149,-8.5268345,source_6,JCP2022_050797
25.201115,-10.462647,source_5,JCP2022_050797
26.180681,-10.360203,source_6,JCP2022_012818
25.944265,-11.4630785,source_6,JCP2022_064022
25.131638,-9.437632,source_5,JCP2022_085227
26.520235,-11.812668,source_5,JCP2022_064022
21.754446,-10.335841,source_8,JCP2022_037716
22.599133,-9.820953,source_2,JCP2022_025848
26.173725,-11.1093025,source_6,JCP2022_064022
24.691154,-9.031676,source_2,JCP2022_050797
22.245756,-9.337754,source_11,JCP2022_037716
25.47117,-6.328045,source_10,JCP2022_035095
22.397528,-10.342739,source_3,JCP2022_037716
21.576149,-10.3733225,source_8,JCP2022_037716
25.568432,-7.5652933,source_5,JCP2022_050797
25.241371,-5.9629207,source_8,JCP2022_035095
26.190933,-9.355446,source_2,JCP2022_050797
26.187983,-11.473976,source_3,JCP2022_064022
21.414217,-10.334471,source_5,JCP2022_037716
25.796085,-7.4017034,source_6,JCP2022_035095
28.657154,-8.602511,source_6,JCP2022_046054
25.239914,-10.013234,source_6,JCP2022_050797
25.255554,-6.439787,source_2,JCP2022_035095
26.816664,-8.442414,source_5,JCP2022_025848
26.817343,-9.467408,source_6,JCP2022_012818
24.935158,-8.118198,source_11,JCP2022_012818
24.013226,-11.176943,source_2,JCP2022_012818
28.527035,-8.732797,source_6,JCP2022_046054
25.825697,-7.487098,source_6,JCP2022_035095
21.889776,-10.10998,source_10,JCP2022_037716
24.605555,-11.754021,source_8,JCP2022_012818
25.581142,-9.743389,source_5,JCP2022_085227
25.990765,-7.021062,source_6,JCP2022_035095
25.096258,-8.045271,source_11,JCP2022_050797
28.732954,-8.672983,source_6,JCP2022_046054
21.922665,-9.920848,source_2,JCP2022_037716
26.228125,-7.1756268,source_6,JCP2022_035095
28.043331,-9.153042,source_2,JCP2022_046054
27.681255,-9.878395,source_11,JCP2022_046054
26.085115,-8.135238,source_8,JCP2022_025848
25.231022,-6.047266,source_10,JCP2022_035095
28.167027,-9.38457,source_3,JCP2022_046054
28.210276,-9.629798,source_3,JCP2022_046054
21.581228,-10.619583,source_6,JCP2022_037716
24.907642,-9.228539,source_10,JCP2022_085227
25.529911,-10.484554,source_5,JCP2022_012818
25.80285,-6.9833045,source_6,JCP2022_035095
28.136553,-8.879317,source_8,JCP2022_046054
25.20487,-10.875649,source_8,JCP2022_085227
25.875305,-11.532675,source_8,JCP2022_064022
24.668478,-11.359024,source_6,JCP2022_050797
25.09784,-11.265154,source_5,JCP2022_025848
25.184877,-9.659177,source_10,JCP2022_085227
28.389618,-9.438938,source_2,JCP2022_046054
26.363052,-8.94652,source_8,JCP2022_025848
26.782232,-10.420108,source_8,JCP2022_085227
25.484768,-7.4479246,source_8,JCP2022_025848
25.929773,-6.74135,source_5,JCP2022_035095
25.302734,-9.252798,source_10,JCP2022_025848
21.870388,-10.20811,source_10,JCP2022_037716
26.310184,-8.160796,source_8,JCP2022_025848
24.791832,-11.185674,source_3,JCP2022_050797
25.583105,-7.7885494,source_3,JCP2022_025848
25.507309,-9.524612,source_5,JCP2022_085227
26.65783,-11.755127,source_5,JCP2022_064022
22.041843,-9.790387,source_2,JCP2022_037716
26.622614,-8.458452,source_8,JCP2022_085227
25.248411,-5.986384,source_10,JCP2022_035095
25.675158,-7.35182,source_3,JCP2022_035095
26.45773,-9.792363,source_11,JCP2022_050797
24.611479,-9.541863,source_2,JCP2022_085227
21.95676,-10.49585,source_8,JCP2022_037716
23.983217,-10.263825,source_11,JCP2022_035095
24.497898,-8.830764,source_5,JCP2022_050797
25.905336,-8.549617,source_3,JCP2022_085227
25.17326,-8.464825,source_5,JCP2022_085227
24.142801,-9.119327,source_2,JCP2022_025848
25.076729,-8.87613,source_5,JCP2022_025848
26.0419,-7.1853943,source_6,JCP2022_035095
24.498636,-11.705858,source_8,JCP2022_064022
25.528677,-10.9199295,source_8,JCP2022_064022
24.469574,-9.569257,source_11,JCP2022_012818
25.549286,-11.854277,source_2,JCP2022_064022
24.280306,-9.832878,source_6,JCP2022_085227
25.48927,-11.308704,source_5,JCP2022_012818
25.776363,-7.1199512,source_6,JCP2022_035095
25.349667,-7.5459757,source_3,JCP2022_012818
27.630274,-9.410522,source_6,JCP2022_085227
25.533936,-7.8507404,source_2,JCP2022_085227
26.92481,-9.63312,source_8,JCP2022_025848
25.764261,-9.712458,source_5,JCP2022_085227
25.486542,-10.109815,source_10,JCP2022_085227
25.618326,-9.961506,source_11,JCP2022_012818
24.553528,-8.979696,source_11,JCP2022_025848
25.39431,-8.608378,source_5,JCP2022_012818
24.808804,-8.653743,source_11,JCP2022_085227
23.949675,-11.053124,source_3,JCP2022_012818
25.376085,-7.2268305,source_3,JCP2022_035095
25.909054,-7.140318,source_6,JCP2022_025848
26.30317,-11.350019,source_8,JCP2022_064022
26.530064,-11.472994,source_11,JCP2022_064022
26.448156,-11.437994,source_3,JCP2022_064022
24.499313,-8.358063,source_2,JCP2022_085227
28.512722,-9.421991,source_2,JCP2022_046054
25.642927,-9.070756,source_11,JCP2022_085227
24.712555,-6.5065713,source_8,JCP2022_035095
22.519787,-10.211693,source_3,JCP2022_037716
26.76794,-10.161448,source_11,JCP2022_085227
26.673605,-8.313151,source_5,JCP2022_025848
25.463957,-11.718551,source_10,JCP2022_064022
25.202826,-8.607904,source_5,JCP2022_025848
28.094303,-9.846254,source_11,JCP2022_046054
25.460293,-6.7643547,source_3,JCP2022_035095
22.399855,-9.866438,source_10,JCP2022_037716
21.71314,-10.4537735,source_8,JCP2022_037716
23.956898,-10.471793,source_10,JCP2022_012818
26.099249,-11.129297,source_6,JCP2022_064022
28.02569,-9.978411,source_11,JCP2022_025848
28.08376,-9.89481,source_11,JCP2022_046054
28.191822,-8.350536,source_5,JCP2022_046054
28.09424,-8.2989645,source_5,JCP2022_046054
28.460073,-9.503792,source_2,JCP2022_046054
26.316162,-9.921807,source_3,JCP2022_085227
24.096897,-10.972431,source_3,JCP2022_025848
27.062494,-10.205965,source_11,JCP2022_050797
26.43265,-9.196332,source_5,JCP2022_085227
25.464893,-10.511853,source_6,JCP2022_012818
24.734573,-9.438906,source_11,JCP2022_012818
24.883587,-11.466712,source_3,JCP2022_012818
24.643726,-8.272924,source_2,JCP2022_050797
26.936052,-8.547371,source_8,JCP2022_025848
26.058355,-11.380631,source_5,JCP2022_064022
25.192036,-11.618319,source_10,JCP2022_035095
25.441084,-6.0162635,source_10,JCP2022_035095
21.292397,-10.063994,source_5,JCP2022_037716
26.012243,-9.911555,source_6,JCP2022_050797
26.334425,-8.391987,source_6,JCP2022_025848
21.65821,-10.553316,source_6,JCP2022_037716
26.270037,-10.011352,source_6,JCP2022_012818
26.334564,-8.944388,source_10,JCP2022_050797
25.826664,-9.389156,source_10,JCP2022_085227
25.674633,-8.682535,source_5,JCP2022_050797
25.94416,-7.60659,source_5,JCP2022_025848
25.056665,-11.804093,source_10,JCP2022_064022
25.890463,-8.228361,source_8,JCP2022_085227
24.884583,-8.803899,source_2,JCP2022_050797
26.504585,-8.812402,source_2,JCP2022_025848
23.727766,-10.46092,source_10,JCP2022_064022
23.8158,-10.706053,source_3,JCP2022_012818
26.740719,-9.857867,source_3,JCP2022_046054
21.718828,-10.549014,source_10,JCP2022_037716
22.06337,-9.711465,source_2,JCP2022_037716
26.470293,-10.739167,source_10,JCP2022_064022
24.751862,-9.660321,source_3,JCP2022_050797
24.866796,-6.3670783,source_2,JCP2022_035095
23.879194,-11.371273,source_2,JCP2022_012818
25.809061,-8.059156,source_10,JCP2022_025848
25.527391,-11.255315,source_5,JCP2022_035095
26.475204,-7.9494677,source_11,JCP2022_035095
26.372046,-11.843788,source_5,JCP2022_064022
26.039059,-10.1294985,source_11,JCP2022_025848
26.242702,-9.299016,source_11,JCP2022_025848
25.757591,-8.927641,source_6,JCP2022_085227
22.112436,-9.827751,source_2,JCP2022_037716
23.797209,-11.501646,source_10,JCP2022_012818
25.709438,-7.63529,source_5,JCP2022_025848
